pfast,pslow,sharpe,return,max_drawdown
5,30,,0.02622022568292925,2.4509269780980825
5,35,,0.008994428579576236,2.87737833668364
5,40,,0.019622218866694897,1.6208015220625802
5,45,,0.01953004112833766,1.6086454702134332
5,50,,0.013578394927549713,1.6181921590931245
5,55,,0.01713338175334404,1.615688885407678
5,60,,0.016778451238817434,1.6489912369288178
10,30,,0.030681472781947095,1.3817756007390016
10,35,,0.01885806368934069,1.4727149829837036
10,40,,0.011357261454066934,1.6196978500871453
10,45,,0.021818241638919357,1.6073355748888505
10,50,,0.019794784128167476,1.6058027651491427
10,55,,0.016722398061054716,1.6449801823689274
10,60,,0.011651852740447713,1.6485086849095127
15,30,,0.02894793608915141,1.235044536454493
15,35,,0.008819989287476408,1.8138452554341864
15,40,,0.010460101887931433,1.6211410467372218
15,45,,0.023788789631281268,1.6015637131587805
15,50,,0.02139547568641977,1.7465394877139149
15,55,,0.011486773682525727,1.651894106745593
15,60,,0.004848228324820567,2.3118139545772456
20,30,,0.02794001698724856,1.5081924460956684
20,35,,0.013246871485510042,1.621905852404785
20,40,,0.020054556343705832,1.6101601476093836
20,45,,0.01936821922916662,1.6062404123935985
20,50,,0.01173586455156906,1.651894106745593
20,55,,0.004349527077835335,2.217515835212198
20,60,,0.00899839275532016,2.237845446733064
